id	no_meas	age	sex	pa	na	swls	pow	ach	aff	int	fear
1	79	22	1	4.6	2.5	6.2	3.6667	3.6667	3.6079	3.6667	4.6667
2	81	21	1	4.6	3.5	4.2	1	5.3333	4.0661	6	4
3	81	28	0	3.4	1.5	2.8	2	2.6667	2.3921	2.3333	1.6667
4	79	25	1	4.4	2	5	1	2	3.4404	4.3333	4
5	62	20	1	4.2	2.5	3.8	4.3333	4.6667	3.6925	4.6667	4
6	81	18	1	5.2	2	6.6	4	5.3333	4.1002	6	3
7	81	23	1	4.4	3	4.6	2.6667	4.3333	3.7931	6	3.6667
8	81	21	1	3.8	2.5	2.8	1.6667	4	3.3604	5.3333	4.6667
9	82	21	1	4	1	6	3	4.3333	2.2954	2.6667	2.6667
10	76	20	1	3.8	3	3.8	1.6667	5.3333	3.349	5.3333	5
11	82	20	1	3	4.5	3.2	3.6667	5	3.6204	5.3333	6
12	80	22	1	4.6	4	6.2	3.3333	3.3333	4.0167	4.6667	4.3333
13	82	22	0	4	2.5	3.6	3.3333	4	3.1246	4.6667	3.6667
14	74	20	1	5	2.5	6.2	3.3333	4.6667	4.0391	5	4
15	82	22	1	5.2	1	5.8	4	4.6667	3.7615	4.6667	2.3333
16	73	25	0	4.4	2.5	3.8	3	3.6667	3.6602	5	3
17	69	22	1	3.2	6	3.2	2.3333	5	3.6807	6	5.6667
18	80	20	0	5	4	6.4	3.3333	4.6667	4.4244	4.3333	1.6667
19	76	20	0	4	2.5	6.6	4.3333	4.6667	3.3442	5.6667	5
20	77	20	1	3.8	3.5	3.6	2.3333	2.6667	3.575	3.3333	4
21	64	19	1	3	4	5.4	2.6667	3.6667	3.2774	5	4.3333
22	75	21	1	3.4	5	3	2.3333	4	3.8715	5.3333	5.6667
23	78	29	0	4.6	3	2.6	4.6667	5	3.5309	5	3.6667
24	71	18	1	4.6	3	2.4	4	5.6667	3.9481	4.6667	3
25	75	21	1	4.2	3.5	5.6	2	4.3333	3.8447	5	4
26	81	65	0	5.4	1.5	6	2.6667	6	3.907	5.3333	2.6667
27	79	19	0	2.8	6	3.6	3	4.3333	3.8312	6	6
28	75	21	1	4.2	2.5	6	2	3.6667	3.6582	5.6667	3.6667
29	70	19	1	4.2	5	4.2	3	5	4.0662	4.3333	4.6667
30	82	22	1	3.4	3	3.2	2.3333	2.6667	3.1181	3.6667	4.3333
31	75	19	0	4.4	3	4.4	3.6667	5	3.4538	5.6667	3.6667
32	76	26	1	5	3.5	5.2	3.6667	5	3.8902	5	4
33	82	21	1	4.2	3.5	6	4	4.3333	4.1336	4.3333	5.3333
34	82	20	0	4	3	4.2	5	4.6667	2.8894	4.3333	3.6667
35	79	21	1	5.2	2.5	6.4	4	4.3333	4.2762	5	2.3333
36	81	19	1	4.4	2.5	4.4	4	5	3.3043	5	5
37	81	20	1	5.2	2.5	5.8	2.3333	5.3333	4.1719	5.3333	4.6667
38	82	18	1	3.4	5.5	3	2.3333	3	3.6931	6	4.6667
39	82	21	1	3.2	3	4.2	3.6667	4	3.3951	5	5.3333
40	73	20	1	3	5	4.6	3.3333	4	3.6052	5	4.3333
41	80	31	0	4.2	2.5	2	3	5.3333	3.2175	3.3333	2.6667
42	75	21	1	4.2	3	5.4	2	3.3333	3.99	5	4
43	61	21	1	4.4	2.5	6	3.3333	5.3333	3.6527	4.6667	5
44	70	21	1	5.4	1.5	6	2.6667	3.3333	4.2298	4.6667	6
45	80	23	1	3.8	3.5	1.8	3	5.6667	3.7556	4.6667	5.3333
46	71	25	1	4.6	3	5.2	1.3333	5	4.0693	4.3333	3.3333
47	81	19	1	4	3.5	6	4.3333	5.3333	3.5613	4.6667	5
48	61	21	1	4.4	3	4.2	3.3333	4.6667	3.879	5.6667	4.6667
49	82	20	1	4.4	2	6	3.3333	4	3.3967	6	5
50	79	19	1	3.8	5	5	3	4.6667	3.9691	5	5.3333
51	71	26	1	3	3	1.8	2	6	3.1195	5.6667	6
52	75	27	0	5.2	1.5	4.6	2.3333	3	4.143	5.3333	2
53	82	22	1	3.6	3.5	6.2	2.6667	4	3.5076	5	3.3333
54	71	19	1	4.8	4	6.4	3.3333	5.3333	3.7744	6	4.6667
55	75	20	1	4.6	3	6.2	3.3333	4.3333	4.2654	5.6667	3.3333
56	81	18	1	5.4	2	6.6	2.6667	4.6667	4.3826	4.3333	2.6667
57	82	29	1	3.6	4	3.2	2.3333	5	3.6809	5.6667	5.6667
58	71	27	1	4	3.5	5.2	2.3333	3.3333	3.3358	5	4.3333
59	81	29	1	3.4	4.5	2.2	3.6667	4.3333	3.4111	4.6667	4.6667
60	82	24	1	4.6	3.5	5.8	3.3333	5.3333	3.7464	4.3333	3.3333
61	33	26	1	4.8	3.5	4.2	2.3333	4.6667	4.3004	6	5.3333
62	77	19	1	4.6	2.5	4.4	4.3333	5	4.1303	6	3.3333
63	77	20	0	3.8	1.5	5.4	2.6667	5	3.3819	4.3333	4
64	81	21	0	5.2	3	6.4	3	4	4.0251	3.6667	2.3333
65	82	22	1	4.8	4.5	5.8	3	3	4.3522	3.6667	4
66	81	37	1	3.8	3	4.6	4.6667	4	3.0281	4.3333	4
67	82	21	0	5.2	2.5	5	2	5.3333	3.91	4.3333	2
68	79	21	1	2.6	3	2.6	3	3.3333	3.1354	4.3333	4
69	69	19	1	4.4	3.5	7	3	4.6667	3.9888	5.6667	5
70	72	18	1	5.2	2	6.2	5.6667	5.6667	4.2377	6	3
71	82	20	1	4.4	3.5	6.4	3	4.6667	4.2731	5.6667	4.3333
72	81	25	1	5	1	3.8	3.6667	4.6667	3.8318	5.3333	2.6667
73	73	26	1	4.6	3	5.4	2.6667	2.6667	3.6798	4.3333	4
74	82	19	1	3.8	3	5.4	2	5	3.8825	4.6667	5.3333
75	81	21	1	2.6	4	4.6	3.3333	4.6667	3.3762	5.3333	4.3333
76	75	19	1	3	4.5	3.6	2.3333	4.3333	3.5069	5.6667	5.3333
77	80	29	0	4.4	2	5.2	5	3.6667	3.4845	5.3333	2.6667
78	68	20	1	4.2	4	3.6	2.6667	3.6667	4.1408	5	5.6667
79	82	20	1	5.6	2.5	6.4	2.3333	3.6667	4.3275	4.6667	2
80	79	21	1	2.2	3	2.8	3	3.3333	2.5175	4	4.3333
81	78	26	1	3	4.5	3.4	4.3333	3.3333	3.3206	6	4.6667
82	82	27	1	4	1.5	3.2	2	4	3.4766	4.6667	3
83	82	27	1	4.2	2.5	4.4	2.3333	5.3333	3.2471	6	5.6667
84	80	28	1	4.6	3.5	6	2.3333	5	3.9897	5	4.3333
85	82	21	1	4	4.5	4.2	2.3333	4	3.863	2.6667	3.6667
