id	day	sleep_quality	physical_activity	pa	na	learning_goal_achievement	beep
1	1	3	30	2.666666667	3.666666667	2	1
1	2	3	60	3.333333333	3	1	1
1	3	3	360	2.666666667	4	0	1
1	4	3	780	1.333333333	5	1	1
1	6	3	210	3	4.666666667	2	1
1	8	3	310	4	3.666666667	2	1
1	9	3	90	3.333333333	3.333333333	0	1
1	10	3	405	3.333333333	2.666666667	2	1
1	11	3	405	2.333333333	2.666666667	2	1
1	12	3	360	3	4	2	1
1	13	3	270	1.666666667	5.666666667	1	1
1	14	3	30	3.333333333	2.333333333	2	1
1	15	3	540	2.666666667	2	1	1
1	17	2	405	4.333333333	3.333333333	1	1
1	18	3	405	2.666666667	3	1	1
1	19	3	540	2.666666667	3.333333333	1	1
1	21	3	60	3.666666667	2.666666667	2	1
1	22	3	405	3.333333333	3	1	1
1	23	3	405	3.333333333	3.333333333	2	1
1	24	2	60	1.666666667	4.666666667	2	1
1	25	3	405	5	2.666666667	2	1
1	26	3	330	3.666666667	2.666666667	1	1
1	27	3	435	2	3.666666667	2	1
1	29	3	525	3.666666667	2.666666667	2	1
1	30	3	270	4	2.666666667	3	1
1	31	3	405	2	3.333333333	1	1
1	32	2	390	5.333333333	2	NA	1
2	1	3	190	5.666666667	2.666666667	2	1
2	2	4	290	6	2	3	1
2	3	3	235	5.666666667	3	2	1
2	4	3	520	5.666666667	1.5	1	1
2	5	4	435	6.333333333	1.666666667	2	1
2	6	3	300	5.666666667	2.666666667	3	1
2	7	3	360	6.333333333	2	3	1
2	8	2	375	6.333333333	2	2	1
2	9	3	290	6	1.333333333	3	1
2	10	3	620	5	1	3	1
2	11	4	980	7	1	3	1
2	12	4	780	6	1.333333333	3	1
2	13	4	460	6.666666667	1.333333333	4	1
2	14	4	390	5.333333333	2	3	1
2	15	3	420	4.666666667	3.666666667	3	1
2	16	3	480	5	3.666666667	3	1
2	17	4	825	6.333333333	2	3	1
2	18	3	900	5.333333333	1	3	1
2	19	2	420	5.666666667	2	3	1
2	20	4	330	6	1.333333333	3	1
2	21	3	240	5.666666667	1.333333333	3	1
2	22	2	840	5.333333333	2.333333333	3	1
2	23	4	235	5.333333333	2	4	1
2	24	3	660	5.333333333	3	2	1
2	25	3	1160	4.666666667	5	2	1
2	26	NA	480	5.333333333	3	3	1
2	27	4	1260	6	1	3	1
2	28	4	430	5.666666667	1.333333333	3	1
2	29	4	720	6	2	3	1
2	30	1	660	5.666666667	2	3	1
2	31	4	870	6	2.666666667	2	1
2	32	4	1620	6.666666667	1	NA	1
3	1	3	720	5	1.666666667	2	1
3	2	3	720	4.666666667	1	3	1
3	3	3	360	4.333333333	2.333333333	2	1
3	4	2	900	4.666666667	3.333333333	2	1
3	5	3	360	4.666666667	2.333333333	3	1
3	6	4	360	4.666666667	3	3	1
3	7	3	585	4.333333333	2.333333333	3	1
3	8	2	720	4	2.666666667	2	1
3	9	2	855	4.333333333	2.333333333	3	1
3	10	3	180	2.333333333	5.333333333	2	1
3	11	2	810	4	3.333333333	3	1
3	12	3	990	3	4.333333333	2	1
3	13	3	380	3.666666667	3.333333333	3	1
3	14	3	340	3.666666667	2.333333333	3	1
3	15	1	1355	2.333333333	6.333333333	2	1
3	16	3	0	2.333333333	5.666666667	3	1
3	17	4	150	2.666666667	4.333333333	3	1
3	18	3	355	2.666666667	4	3	1
3	19	3	355	3.333333333	4	4	1
3	20	3	315	3	4.666666667	2	1
3	21	4	0	3.666666667	3.666666667	3	1
3	22	2	0	4.666666667	2	4	1
3	23	2	0	5	2	4	1
3	24	2	0	3.666666667	2.333333333	3	1
3	25	3	0	5	2	3	1
3	26	3	0	4.333333333	2	3	1
3	27	3	0	3.666666667	2.666666667	2	1
3	28	3	0	4.666666667	1.666666667	4	1
3	29	4	175	4	2	3	1
3	30	1	855	4.333333333	1.333333333	3	1
3	31	3	0	4	1.333333333	3	1
3	32	3	1080	5.333333333	1.333333333	NA	1
4	1	3	740	3.333333333	3.666666667	2	1
4	2	4	175	3	2.666666667	2	1
4	3	3	235	3.666666667	2	1	1
4	4	2	75	2.333333333	4.333333333	0	1
4	5	3	150	3	3	2	1
4	6	3	420	4	3	1	1
4	7	2	270	6	2.666666667	1	1
4	8	2	200	2	4.333333333	2	1
4	9	3	250	4.666666667	2.666666667	2	1
4	10	3	830	4.666666667	3.666666667	2	1
4	11	2	160	2.666666667	3.666666667	2	1
4	12	2	102	3	5.666666667	2	1
4	13	3	60	3	3.333333333	1	1
4	14	3	45	2.333333333	4	2	1
4	15	2	60	2.333333333	4	1	1
4	16	3	420	2.333333333	3	2	1
4	17	2	165	2.666666667	3	1	1
4	18	3	45	1.666666667	3.333333333	0	1
4	19	2	30	2	3	1	1
4	20	2	0	2.333333333	3.333333333	1	1
4	21	3	45	1.333333333	5	1	1
4	22	2	60	1.666666667	3	0	1
4	23	3	90	2	2.666666667	1	1
4	24	3	90	2.333333333	3.666666667	1	1
4	25	2	85	2.666666667	4.333333333	1	1
4	26	3	540	3.333333333	2.333333333	2	1
4	27	3	60	3	2.333333333	2	1
4	28	3	150	3.333333333	2	2	1
4	29	3	60	2.333333333	3	2	1
4	30	2	390	2.666666667	3	1	1
4	31	2	405	2.333333333	2.666666667	2	1
4	32	2	795	4.666666667	2	NA	1
5	1	4	45	3	4.666666667	2	1
5	2	3	30	4.666666667	2.666666667	0	1
5	3	3	315	4	3.666666667	3	1
5	4	3	0	5.333333333	2.333333333	2	1
5	5	2	45	4	4.333333333	2	1
5	6	3	0	5	3.333333333	2	1
5	7	3	30	5.666666667	1.666666667	3	1
5	8	3	45	4.333333333	2.666666667	2	1
5	9	2	55	5	3	2	1
5	10	3	30	6	1.333333333	2	1
5	11	2	45	3.333333333	4	2	1
5	12	3	0	6	1.333333333	3	1
5	13	3	355	6	2	2	1
5	14	4	15	6	1	3	1
5	15	2	30	1	6.666666667	2	1
5	16	4	65	6	1.666666667	4	1
5	17	1	90	5.333333333	1.666666667	1	1
5	18	1	90	1	7	0	1
5	19	3	80	2	6.333333333	1	1
5	20	2	45	4.333333333	3	2	1
5	21	2	0	4.333333333	5	2	1
5	22	1	45	6	1.666666667	2	1
5	23	2	0	2	5.666666667	0	1
5	24	2	0	4	3.333333333	1	1
5	25	1	100	4	3.333333333	1	1
5	26	3	0	6	1.666666667	1	1
5	27	3	160	5.666666667	1	3	1
5	28	3	0	6	1.333333333	3	1
5	29	3	0	6	2.333333333	2	1
5	30	1	30	4	4	3	1
5	31	3	30	6	1.333333333	2	1
5	32	2	134	5.666666667	1.333333333	NA	1
6	1	3	375	5	3.333333333	3	1
6	2	3	230	4	4	2	1
6	3	3	200	3.666666667	4.666666667	3	1
6	4	3	260	4	4	2	1
6	5	3	200	3	4.333333333	2	1
6	7	2	330	3	4.333333333	1	1
6	8	3	280	3	4	3	1
6	9	3	255	3	3	2	1
6	10	3	0	3	3	2	1
6	11	2	230	3	3.666666667	2	1
6	12	2	180	3.333333333	4.333333333	3	1
6	13	2	150	3	3.333333333	2	1
6	14	2	0	3.666666667	3	3	1
6	15	1	250	3.333333333	4	3	1
6	16	2	200	3.333333333	3.666666667	3	1
6	17	3	200	3	4.333333333	1	1
6	18	2	0	3.333333333	3.666666667	2	1
6	19	2	1000	3.666666667	3.333333333	2	1
6	20	2	1230	3	3.333333333	1	1
6	21	2	45	2	5	2	1
6	22	3	260	2.666666667	3.333333333	2	1
6	23	3	0	3.666666667	3.666666667	3	1
6	24	3	45	3.333333333	4.333333333	3	1
6	25	3	450	2	5	1	1
6	26	3	335	2.333333333	4	3	1
6	27	2	550	2.666666667	3.666666667	1	1
6	28	2	550	3	4	2	1
6	29	2	1280	3	4	2	1
6	30	3	735	3	3	2	1
6	31	3	0	3	3	2	1
6	32	3	495	4.666666667	2	NA	1
7	2	4	2250	5.666666667	1	4	1
7	3	4	28	6	1	2	1
7	4	4	9	6	1	0	1
7	5	4	1260	6	1.333333333	4	1
7	6	4	1380	6	1	4	1
7	7	4	720	6	1	0	1
7	8	4	180	6	1	2	1
7	9	4	1740	6	1	4	1
7	10	4	1620	6.666666667	1	4	1
7	11	4	540	6	1	4	1
7	12	4	90	6	1	4	1
7	13	4	990	6.333333333	1	0	1
7	14	4	730	6	1.333333333	4	1
7	15	4	1380	6	1	2	1
7	16	4	720	6	1	0	1
7	17	4	240	6	1	4	1
7	18	4	630	6	1	4	1
7	19	4	1050	6	1	4	1
7	20	4	90	6	1	4	1
7	21	4	630	6	1	4	1
7	22	3	240	6	1	4	1
7	23	4	780	6	1	1	1
7	24	4	660	6	1	3	1
7	25	4	730	6.333333333	1	2	1
7	26	4	1080	6	1	4	1
7	27	4	300	6	1	4	1
7	28	4	90	6	1	1	1
7	29	2	640	6	1	1	1
7	30	4	90	6	1	4	1
7	31	4	0	6	1	4	1
7	32	4	90	6.333333333	1	NA	1
8	1	3	30	6.666666667	1	3	1
8	2	4	180	6.333333333	1	2	1
8	3	4	390	6.666666667	1	2	1
8	4	4	150	6	1	4	1
8	5	4	930	6.666666667	1	1	1
8	6	3	420	7	1	1	1
8	7	3	480	5.666666667	1.666666667	3	1
8	8	4	465	6.333333333	1	4	1
8	9	4	330	5.666666667	1	4	1
8	10	4	115	7	1	4	1
8	11	4	510	6.666666667	1	4	1
8	12	3	240	7	1	4	1
8	13	4	510	7	1	0	1
8	14	4	270	7	1	4	1
8	15	3	330	6.333333333	1.333333333	3	1
8	16	4	280	6.666666667	1.666666667	3	1
8	17	4	140	6	1	4	1
8	18	3	510	7	1	3	1
8	19	4	200	7	1	3	1
8	20	4	510	7	1	2	1
8	21	4	510	6.666666667	1	2	1
8	22	2	210	6.666666667	1.333333333	1	1
8	23	4	900	7	1.333333333	2	1
8	24	4	240	6	1	2	1
8	25	4	240	7	1	3	1
8	26	4	460	6.333333333	1	2	1
8	27	4	330	7	1	3	1
8	28	4	510	7	1	4	1
8	29	4	510	7	1	4	1
8	30	4	510	6.333333333	1.333333333	3	1
8	31	3	280	6	1	3	1
8	32	3	190	7	1	NA	1
9	1	3	90	3.666666667	3	1	1
9	2	2	135	5.666666667	1.333333333	0	1
9	3	4	210	3	1.666666667	2	1
9	4	3	180	5.333333333	1.333333333	2	1
9	5	3	150	5.666666667	1	3	1
9	6	3	270	5.666666667	2	4	1
9	7	2	90	5	2	3	1
9	8	2	210	5.333333333	1	0	1
9	9	4	135	5.333333333	1	1	1
9	10	3	510	4.666666667	1	3	1
9	11	3	135	5.666666667	1.333333333	2	1
9	12	1	195	5.333333333	3	3	1
9	13	3	180	3	3.333333333	3	1
9	14	4	460	5.666666667	1.333333333	4	1
9	15	3	210	5.666666667	1	2	1
9	16	3	120	5.666666667	1.333333333	3	1
9	17	3	150	5	1.666666667	1	1
9	18	3	150	4.666666667	2.666666667	0	1
9	19	3	120	5.666666667	1.333333333	1	1
9	20	3	120	4.333333333	1.333333333	2	1
9	21	3	210	3.666666667	4.333333333	2	1
9	22	4	135	4.666666667	2.333333333	3	1
9	23	3	90	3.666666667	1	1	1
9	24	3	60	5	1	3	1
9	25	2	240	6	1	4	1
9	26	4	360	6	1.333333333	1	1
9	27	3	360	6	1.666666667	2	1
9	28	3	270	5	1.333333333	2	1
9	29	3	180	5	1.666666667	3	1
9	30	4	120	6	1	2	1
9	31	4	180	5.666666667	1	3	1
9	32	1	1260	4.333333333	1	NA	1
10	1	3	165	4.666666667	1.333333333	3	1
10	2	4	950	4.333333333	1	2	1
10	3	2	185	5.666666667	1	2	1
10	4	2	925	6	1	3	1
10	5	3	810	4.333333333	4	2	1
10	6	2	0	4	2.666666667	2	1
10	7	3	0	1.666666667	4	4	1
10	8	4	525	4.333333333	1.333333333	3	1
10	9	3	120	5	1.333333333	3	1
10	10	3	75	5	1	4	1
10	11	3	635	4.666666667	1.333333333	2	1
10	12	3	120	5	1.666666667	3	1
10	13	3	0	3.333333333	1.333333333	3	1
10	14	3	120	2.666666667	1.666666667	3	1
10	15	2	930	2.666666667	1.666666667	4	1
10	16	4	145	4	2.333333333	4	1
10	17	3	120	4.666666667	1	4	1
10	18	3	0	6	1	4	1
10	19	3	80	3.666666667	1	3	1
10	20	3	0	2.333333333	5	1	1
10	21	3	120	3.333333333	2	2	1
10	22	3	890	3.666666667	1.333333333	3	1
10	23	3	105	4.333333333	1.333333333	3	1
10	24	3	105	5	1.333333333	4	1
10	25	2	930	6.666666667	1	3	1
10	26	3	270	4.666666667	1.666666667	2	1
10	27	3	255	3.333333333	5	3	1
10	30	2	120	4	2	3	1
10	31	3	105	4	2	4	1
10	32	2	120	5.666666667	1.666666667	NA	1
11	2	3	180	4.333333333	2.333333333	2	1
11	3	2	140	5	3.666666667	2	1
11	5	2	1860	4.333333333	3.666666667	2	1
11	6	2	255	5	3	1	1
11	7	3	280	5	2.333333333	1	1
11	8	3	180	4	2.666666667	1	1
11	9	3	280	5.333333333	2.666666667	1	1
11	10	3	775	5	1.666666667	0	1
11	13	3	1560	5	2	0	1
11	15	3	930	4.666666667	2	0	1
11	19	3	1020	5	2.333333333	0	1
11	20	3	600	4.666666667	2.333333333	0	1
11	21	3	930	5	2.666666667	2	1
11	23	3	840	4	2.666666667	0	1
11	26	4	180	1	5.333333333	0	1
11	27	2	1860	4	3	0	1
11	28	3	2760	3	5.666666667	0	1
11	29	3	330	1	7	2	1
11	30	3	930	2.666666667	4.666666667	2	1
11	31	3	525	3.666666667	4.666666667	0	1
12	1	3	200	6.333333333	1	3	1
12	2	3	780	6	1	3	1
12	3	2	180	6	1	3	1
12	4	4	990	6	1	3	1
12	5	4	460	6	1	3	1
12	6	4	1170	6	1	3	1
12	7	2	300	6	1	3	1
12	8	4	930	6	1	3	1
12	9	3	560	6	1	3	1
12	10	4	360	5.666666667	1	3	1
12	11	4	1110	6.333333333	1.333333333	3	1
12	12	4	180	6	1	3	1
12	13	3	1220	5.666666667	1.333333333	3	1
12	14	3	1100	7	1	3	1
12	15	3	1200	5.666666667	1.333333333	3	1
12	16	3	340	5.666666667	1	2	1
12	17	3	1000	5.333333333	1.333333333	3	1
12	18	4	420	7	1	4	1
12	19	4	510	6.666666667	1	3	1
12	20	3	180	6	1	3	1
12	21	4	360	6	1	3	1
12	22	3	390	5.666666667	2	3	1
12	23	3	180	5.666666667	1	2	1
12	24	3	360	6	1	3	1
12	25	3	420	7	1	3	1
12	26	3	600	6	1	3	1
12	27	3	300	5	1.666666667	1	1
12	28	3	720	6	1	3	1
12	29	3	900	6	1	3	1
12	30	3	390	5	1.666666667	3	1
12	31	3	1090	6	1	3	1
12	32	3	900	6	1	NA	1
14	1	2	435	3.333333333	4.666666667	3	1
14	2	2	570	3	4.666666667	2	1
14	3	2	60	3	3.333333333	2	1
14	4	2	480	3.333333333	4	2	1
14	5	2	0	2.333333333	3.666666667	0	1
14	6	2	1260	2.666666667	4	1	1
14	7	3	0	3.333333333	2.666666667	2	1
14	8	4	720	3	2.666666667	3	1
14	9	3	0	2.666666667	4.333333333	2	1
14	10	4	630	2.666666667	2.333333333	3	1
14	11	2	540	2.333333333	4	2	1
14	12	3	600	2.333333333	2.666666667	2	1
14	13	3	0	2.666666667	3	3	1
14	14	4	0	3	2	3	1
14	15	4	740	2.666666667	5.666666667	1	1
14	16	3	0	2.666666667	3.333333333	3	1
14	17	3	180	3.333333333	3.666666667	1	1
14	18	4	0	3	2.666666667	2	1
14	19	4	390	2.333333333	3	2	1
14	20	4	0	2.666666667	3.333333333	3	1
14	21	4	0	3	3	3	1
14	22	3	180	3	3	2	1
14	23	3	300	3.666666667	3.666666667	3	1
14	24	3	0	2.333333333	4.333333333	3	1
14	25	3	405	2.333333333	5	1	1
14	26	3	540	2.666666667	4.333333333	2	1
14	27	4	0	2.333333333	2.666666667	3	1
14	28	4	90	2	4	3	1
14	29	3	0	1.666666667	4	3	1
14	30	3	360	2	4.666666667	2	1
14	31	3	0	3	4.333333333	4	1
14	32	2	180	4.666666667	3.666666667	NA	1
15	1	3	130	4.333333333	2	3	1
15	2	3	125	4.333333333	2	2	1
15	3	2	390	4.666666667	1.333333333	3	1
15	4	3	150	5.333333333	1.333333333	4	1
15	5	3	510	5	1.333333333	2	1
15	6	4	135	5	1.666666667	2	1
15	7	3	495	2.666666667	2.666666667	2	1
15	8	3	210	2	4.666666667	1	1
15	9	4	340	6	3.333333333	3	1
15	10	2	315	4.666666667	2	3	1
15	11	4	150	4.666666667	2.333333333	3	1
15	12	3	600	3.666666667	2.333333333	2	1
15	13	4	120	1.666666667	4.333333333	1	1
15	14	3	90	4.666666667	2.333333333	3	1
15	15	4	135	4	2.666666667	3	1
15	16	4	90	5.666666667	1.333333333	4	1
15	17	3	570	4.333333333	2	0	1
15	18	2	555	3	3.333333333	2	1
15	19	3	570	2	3.333333333	1	1
15	20	3	490	1.666666667	4.333333333	1	1
15	21	3	335	1.666666667	4.333333333	2	1
15	22	2	645	5.333333333	2.333333333	3	1
15	23	2	135	1.666666667	3.666666667	2	1
15	24	1	90	1.333333333	4.333333333	2	1
15	25	4	855	5	2	2	1
15	26	NA	0	NA	NA	0	1
15	27	4	90	5.333333333	2	3	1
15	28	4	690	6	2.333333333	3	1
15	29	4	90	4	2.666666667	3	1
15	30	4	150	6	1.333333333	1	1
15	31	4	60	4	2.666666667	3	1
15	32	3	150	6.333333333	1.333333333	NA	1
16	3	4	255	4	2.666666667	3	1
16	4	3	510	4	3	1	1
16	5	2	480	4	2.666666667	4	1
16	6	3	180	4	3	3	1
16	7	3	1080	3.666666667	3.333333333	1	1
16	8	3	510	3	3.666666667	1	1
16	9	3	720	3.666666667	3	0	1
16	10	3	180	4	2.333333333	3	1
16	11	3	360	3.666666667	3.666666667	2	1
16	12	3	360	3	4	1	1
16	13	3	0	3.333333333	4	3	1
16	14	2	180	3	3.666666667	3	1
16	15	2	360	4	3.333333333	2	1
16	16	2	90	4.333333333	2.333333333	3	1
16	17	2	360	3.666666667	2.666666667	0	1
16	18	3	360	3.333333333	3	0	1
16	19	4	0	3.666666667	3	1	1
16	20	3	180	3.333333333	3.333333333	4	1
16	21	3	0	3	4	2	1
16	22	3	540	3.333333333	2.666666667	0	1
16	23	3	0	2.333333333	4.666666667	0	1
16	24	3	0	3.666666667	2.333333333	1	1
16	25	2	180	4	2.333333333	0	1
16	26	3	0	3.333333333	3	1	1
16	27	3	360	4	2.666666667	2	1
16	28	3	0	3.333333333	3.333333333	1	1
16	29	3	0	3.666666667	3	3	1
16	30	3	360	4	2.666666667	1	1
16	31	3	0	4	3.333333333	3	1
16	32	2	360	5	2	NA	1
17	1	3	270	4	2	2	1
17	2	2	100	1	2.333333333	1	1
17	3	2	330	1.666666667	2.333333333	1	1
17	4	2	435	1.333333333	1	1	1
17	5	3	30	2	1.333333333	2	1
17	6	3	30	2.333333333	1	3	1
17	7	3	450	1.333333333	1	0	1
17	8	3	480	2	1	2	1
17	9	3	45	2.666666667	1	0	1
17	10	3	60	2.666666667	1	2	1
17	11	2	825	2.666666667	1	2	1
17	12	3	60	1	1	2	1
17	13	3	45	1	2	2	1
17	14	3	180	2.333333333	1	2	1
17	15	1	30	1	4.333333333	2	1
17	16	1	330	1	3.333333333	2	1
17	17	3	60	1.333333333	1.333333333	2	1
17	18	4	135	5	1.666666667	1	1
17	19	1	60	1	2	0	1
17	20	2	180	1	3	1	1
17	21	3	45	3	1.666666667	2	1
17	22	3	135	2.666666667	1.666666667	1	1
17	23	4	105	1.333333333	2.333333333	1	1
17	24	3	30	2	1.666666667	1	1
17	25	3	465	2	2.666666667	4	1
17	26	3	180	3.333333333	1	0	1
17	27	3	180	1.333333333	1.666666667	1	1
17	28	3	330	2.333333333	1	2	1
17	29	3	45	1.666666667	2	2	1
17	30	1	135	3	1.333333333	2	1
17	31	3	60	1.333333333	2.333333333	1	1
17	32	3	180	5.666666667	1	NA	1
19	1	3	180	4.333333333	3.333333333	2	1
19	2	2	345	4	5.333333333	1	1
19	3	2	425	5.666666667	2.666666667	4	1
19	4	4	468	5.666666667	2	3	1
19	5	4	90	6	1.666666667	3	1
19	6	4	90	6	1	3	1
19	7	4	90	3.333333333	6.333333333	3	1
19	8	1	270	4	1.666666667	0	1
19	9	3	540	5.333333333	1	2	1
19	10	3	420	6	2	4	1
19	11	3	540	4	1.333333333	1	1
19	12	4	270	6	1	3	1
19	13	4	180	4.666666667	1.666666667	3	1
19	14	3	180	4	3	2	1
19	15	1	270	1	5	3	1
19	16	4	285	4.666666667	1.666666667	3	1
19	17	2	435	5.666666667	1.666666667	3	1
19	18	4	180	6	1	3	1
19	19	3	250	6	1.333333333	3	1
19	20	2	180	6	1.333333333	3	1
19	21	3	163	4	2.666666667	3	1
19	22	2	285	4.666666667	3.333333333	2	1
19	23	3	270	6	1.666666667	3	1
19	24	2	150	4	4	3	1
19	25	2	135	1	5	2	1
19	26	4	360	6	1	3	1
19	27	4	270	5.333333333	1.333333333	2	1
19	28	4	180	6.666666667	1	3	1
19	29	4	270	6	1.5	3	1
19	30	1	270	1	2.333333333	3	1
19	32	1	360	3	3	NA	1
20	1	3	599	1.666666667	6.333333333	1	1
20	2	2	1030	6	1	3	1
20	3	2	1520	5.333333333	2	1	1
20	4	2	295	1	6.666666667	2	1
20	5	1	60	2	2.666666667	0	1
20	6	3	480	5	2.333333333	1	1
20	7	3	130	2	3	4	1
20	8	3	890	5	1	4	1
20	9	1	400	5.666666667	2	3	1
20	10	2	190	5.333333333	1	1	1
20	11	4	1000	6	1	1	1
20	12	4	1320	6	1.333333333	4	1
20	13	1	1380	2	6	1	1
20	14	2	665	1	6	4	1
20	15	2	320	6	1.666666667	3	1
20	16	3	940	4.666666667	1	3	1
20	17	4	780	6.333333333	1	0	1
20	18	3	1140	7	1	0	1
20	19	1	300	4	2.333333333	3	1
20	20	4	1980	7	1	1	1
20	21	1	30	1	6	2	1
20	22	3	1250	2	4	3	1
20	23	1	400	1	1	3	1
