id	ses	age	trait_avoidance	trait_anxiety	trait_neuroticism
1	1	30	2.16666666666667	2.72222222222222	2.88888888888889
2	0.666666666666667	41	2.5	2.05555555555556	3.77777777777778
3	1	20	3.66666666666667	3.55555555555556	2.77777777777778
4	1	22	3.44444444444444	3.22222222222222	2
5	0.666666666666667	19	3.61111111111111	3.5	2.77777777777778
6	0.708333333333333	26	2.22222222222222	3.11111111111111	3
7	1	21	3	4.38888888888889	2.66666666666667
8	0.833333333333333	34	4.88888888888889	5.38888888888889	3.66666666666667
11	0.833333333333333	29	2.05555555555556	3.72222222222222	2.33333333333333
12	0.708333333333333	23	2.77777777777778	5.22222222222222	2.88888888888889
13	1	22	1.83333333333333	2.33333333333333	3
14	1	21	3.38888888888889	3.77777777777778	2.22222222222222
15	0.666666666666667	22	2.77777777777778	4.77777777777778	4.11111111111111
16	1	44	1.77777777777778	1.61111111111111	2.44444444444444
17	0.541666666666667	19	3.44444444444444	2.94444444444444	3.55555555555556
18	0.833333333333333	19	1.94444444444444	2.5	2.77777777777778
19	0.833333333333333	42	3.44444444444444	4.11111111111111	2
20	0.541666666666667	19	1.77777777777778	1.72222222222222	1.88888888888889
22	0.666666666666667	21	1.77777777777778	2.38888888888889	2
23	0.833333333333333	31	2.27777777777778	4.11111111111111	2.44444444444444
24	0.541666666666667	22	2.55555555555556	3.16666666666667	2.22222222222222
25	0.708333333333333	22	3.94444444444444	3.77777777777778	3.22222222222222
26	0.666666666666667	22	2	3.22222222222222	3.22222222222222
27	1	28	1.88888888888889	1.11111111111111	2.44444444444444
28	0.666666666666667	47	1.88888888888889	1.16666666666667	1.88888888888889
29	0.708333333333333	22	1.94444444444444	2.05555555555556	2
30	0.708333333333333	21	2.88888888888889	1.55555555555556	2.55555555555556
31	0.375	40	1.38888888888889	2.94444444444444	3.77777777777778
32	1	23	2.94444444444444	3.66666666666667	2.88888888888889
33	0.833333333333333	52	3	1.44444444444444	2.44444444444444
34	0.666666666666667	44	3.05555555555556	5.22222222222222	2.77777777777778
35	0.375	24	1.94444444444444	3.66666666666667	3.88888888888889
36	1	20	4	4.05555555555556	3.44444444444444
37	0.666666666666667	21	2	3.55555555555556	2.11111111111111
38	0.125	33	2.27777777777778	2.33333333333333	2.55555555555556
40	0.583333333333333	20	3.77777777777778	5.55555555555556	3.88888888888889
41	0.666666666666667	20	1.72222222222222	2.61111111111111	2.44444444444444
42	0.666666666666667	43	1.83333333333333	2	2
43	0.708333333333333	26	2	2.05555555555556	2.44444444444444
44	0.833333333333333	24	2.83333333333333	2	2.11111111111111
45	0.833333333333333	27	2.05555555555556	3.83333333333333	3
46	0.708333333333333	19	3.83333333333333	4.22222222222222	3.88888888888889
47	1	36	1.11111111111111	1.66666666666667	2.44444444444444
48	1	22	4.66666666666667	2.05555555555556	2.77777777777778
49	0.708333333333333	21	2.44444444444444	4.66666666666667	3.55555555555556
50	0.666666666666667	23	1.88888888888889	3.94444444444444	2.11111111111111
51	0.666666666666667	33	2.38888888888889	2.27777777777778	2.66666666666667
52	1	22	4.16666666666667	4.72222222222222	4
53	1	27	1.77777777777778	1.33333333333333	1.66666666666667
54	0.25	26	2.44444444444444	4.33333333333333	3.77777777777778
55	1	23	3.05555555555556	2.61111111111111	3.11111111111111
56	0.666666666666667	20	3.94444444444444	4.22222222222222	2.66666666666667
57	0.833333333333333	22	4.22222222222222	4.61111111111111	3.33333333333333
58	0.833333333333333	23	4.05555555555556	4.83333333333333	3
59	0.833333333333333	23	2.94444444444444	4.72222222222222	3.44444444444444
60	1	33	1.94444444444444	2.66666666666667	3
61	0.833333333333333	21	3	2.33333333333333	1.88888888888889
63	0.833333333333333	26	3.38888888888889	5.38888888888889	3.33333333333333
64	0.833333333333333	40	2.38888888888889	4.05555555555556	2
65	0.666666666666667	33	2.88888888888889	4.5	2.55555555555556
66	0.708333333333333	28	2.72222222222222	4.77777777777778	4
67	0.833333333333333	21	2.72222222222222	2.44444444444444	1.88888888888889
68	0.25	32	4	4.11111111111111	3.88888888888889
69	0.666666666666667	22	4	2.77777777777778	4
70	0.541666666666667	21	1.77777777777778	2.66666666666667	2.33333333333333
71	0.541666666666667	26	2.94444444444444	3.83333333333333	2.66666666666667
72	0.416666666666667	19	1.83333333333333	1.27777777777778	1.33333333333333
73	0.666666666666667	21	2.05555555555556	1.88888888888889	2.22222222222222
74	0.666666666666667	20	2.16666666666667	3.94444444444444	2.55555555555556
75	0.833333333333333	20	4.38888888888889	3.55555555555556	3.22222222222222
76	0.541666666666667	24	3.33333333333333	5.44444444444445	4.44444444444444
77	0.666666666666667	20	2.83333333333333	1.88888888888889	1.77777777777778
78	0.666666666666667	21	2	1.77777777777778	1.77777777777778
79	0.666666666666667	24	3.55555555555556	3.72222222222222	3.22222222222222
80	0.666666666666667	20	2.22222222222222	3.16666666666667	2.33333333333333
81	0.666666666666667	22	1.61111111111111	4.77777777777778	2.66666666666667
82	0.833333333333333	21	3.61111111111111	3.33333333333333	2.77777777777778
83	0.833333333333333	22	1.27777777777778	1.66666666666667	2
84	0.666666666666667	26	2.27777777777778	1.88888888888889	3.66666666666667
85	0.541666666666667	23	2.38888888888889	4.22222222222222	3.44444444444444
86	0.666666666666667	35	4.77777777777778	2.94444444444444	2.44444444444444
87	0.708333333333333	19	2.94444444444444	2.61111111111111	1.88888888888889
88	0.541666666666667	45	1.83333333333333	4.5	4.66666666666667
89	1	20	1.55555555555556	4	3.66666666666667
90	0.833333333333333	20	3.94444444444444	4.5	3.11111111111111
91	0.666666666666667	27	3.88888888888889	2.16666666666667	2.55555555555556
92	0.833333333333333	21	1.33333333333333	2.22222222222222	1.66666666666667
93	0.833333333333333	23	3.55555555555556	1.5	1.88888888888889
94	0.541666666666667	22	2.83333333333333	4.72222222222222	3.22222222222222
95	0.666666666666667	20	4.11111111111111	4.94444444444445	4.11111111111111
96	0.833333333333333	21	2.27777777777778	2.27777777777778	2.88888888888889
97	1	32	2.83333333333333	3.88888888888889	3.33333333333333
98	1	21	1.72222222222222	1.88888888888889	3
99	0.541666666666667	52	3.27777777777778	5	3.22222222222222
100	0.708333333333333	20	2.61111111111111	3.33333333333333	2.55555555555556
102	0.833333333333333	30	2.16666666666667	1.88888888888889	3.22222222222222
103	0.666666666666667	31	4.33333333333333	2.66666666666667	2.11111111111111
104	0.833333333333333	22	2.55555555555556	1.61111111111111	1.66666666666667
105	0.541666666666667	39	2.5	3.44444444444444	3.66666666666667
106	1	22	2.38888888888889	1.55555555555556	1.11111111111111
107	0.833333333333333	35	3.22222222222222	2.83333333333333	2.66666666666667
108	0.666666666666667	26	3.16666666666667	4.11111111111111	4
109	0.833333333333333	22	1.38888888888889	2.55555555555556	2.33333333333333
110	0.541666666666667	39	1.66666666666667	3.16666666666667	2.33333333333333
111	0.666666666666667	20	3.27777777777778	3.16666666666667	3.22222222222222
112	0.666666666666667	23	3.11111111111111	2.88888888888889	2
113	1	24	3.11111111111111	3.33333333333333	3.11111111111111
114	0.833333333333333	51	2.94444444444444	1.16666666666667	2.44444444444444
115	0.666666666666667	20	1.27777777777778	1.72222222222222	1.77777777777778
116	0.708333333333333	20	3.27777777777778	4.38888888888889	3.22222222222222
117	1	21	2	3	4.44444444444444
118	0.708333333333333	32	1.22222222222222	2	3.33333333333333
120	0.541666666666667	27	4.5	3.44444444444444	3.77777777777778
121	0.833333333333333	44	2.88888888888889	2.27777777777778	2.66666666666667
122	0.25	19	3.66666666666667	5.05555555555556	4.11111111111111
123	0.708333333333333	49	5	4.27777777777778	3.11111111111111
124	0.833333333333333	20	2.55555555555556	3.77777777777778	3.33333333333333
125	0.583333333333333	33	3.16666666666667	5.22222222222222	4.11111111111111
126	0.833333333333333	21	3.27777777777778	4.16666666666667	3.11111111111111
127	1	20	3.61111111111111	5.5	4.33333333333333
128	0.708333333333333	23	3.38888888888889	3.44444444444444	3.55555555555556
129	1	22	1.77777777777778	3.38888888888889	2.22222222222222
