id	age	gender	ls1_pre	ls2_pre	ls3_pre	ls4_pre	ls5_pre	ls_pre	path1_pre	agen1_pre	path2_pre	path3_pre	path4_pre	agen2_pre	agen3_pre	agen4_pre	agency_pre	pathways_pre	hope_pre	ls1_post	ls2_post	ls3_post	ls4_post	ls5_post	ls_post	path1_post	agen1_post	path2_post	path3_post	path4_post	agen2_post	agen3_post	agen4_post	agency_post	pathways_post	hope_post	race1	race2	race3	race4	race5	race6	race7	cond_tail	cond_basic
19182	21	2	4	4	4	4	5	4.2	4	4	2	1	4	4	4	4	4	2.75	3.375	4	3	4	4	4	3.8	4	4	3	4	4	4	4	5	4.25	3.75	4	1	NA	NA	NA	NA	NA	NA	0	0
19183	20	2	4	4	3	4	2	3.4	4	3	4	4	3	2	4	3	3	3.75	3.375	4	5	4	4	2	3.8	3	4	3	4	3	2	4	3	3.25	3.25	3.25	NA	NA	NA	4	NA	NA	NA	0	1
19186	21	1	4	4	5	5	3	4.2	3	5	5	4	4	4	4	4	4.25	4	4.125	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4.25	4.125	NA	NA	NA	4	NA	NA	NA	0	0
19187	22	2	4	4	4	4	4	4	4	4	3	3	3	3	4	4	3.75	3.25	3.5	4	5	5	4	4	4.4	4	4	4	4	3	4	4	4	4	3.75	3.875	1	NA	NA	NA	NA	NA	NA	0	1
19189	22	2	2	4	3	3	2	2.8	4	3	4	4	4	3	3	4	3.25	4	3.625	2	3	3	3	2	2.6	3	4	3	3	4	3	3	4	3.5	3.25	3.375	NA	NA	NA	4	NA	NA	NA	0	0
19199	21	2	3	3	4	4	3	3.4	3	3	3	4	4	5	4	4	4	3.5	3.75	2	2	3	4	3	2.8	3	3	2	4	3	4	4	4	3.75	3	3.375	NA	NA	NA	4	NA	NA	NA	0	0
19216	22	2	4	3	2	3	2	2.8	4	4	4	4	3	2	2	2	2.5	3.75	3.125	4	2	2	2	2	2.4	4	4	2	4	3	4	4	2	3.5	3.25	3.375	1	NA	NA	NA	NA	NA	NA	0	1
19219	20	2	4	4	4	5	5	4.4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	5	4	4.4	4	3	3	4	3	4	4	4	3.75	3.5	3.625	1	NA	NA	NA	NA	NA	NA	0	1
19221	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	0	0
19224	20	1	3	4	3	3	3	3.2	3	3	4	3	3	3	3	3	3	3.25	3.125	3	4	3	2	2	2.8	2	3	3	3	3	3	2	3	2.75	2.75	2.75	NA	NA	NA	4	NA	NA	NA	0	0
19225	21	1	4	5	5	5	5	4.8	4	5	5	4	5	5	5	4	4.75	4.5	4.625	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	NA	NA	NA	NA	NA	NA	0	1
19228	20	2	4	4	4	3	1	3.2	4	4	3	2	3	4	4	2	3.5	3	3.25	4	4	4	4	3	3.8	4	4	3	4	3	2	4	4	3.5	3.5	3.5	NA	2	NA	NA	NA	NA	NA	0	0
19229	19	2	3	4	4	3	2	3.2	2	4	4	2	2	3	4	4	3.75	2.5	3.125	2	4	4	4	2	3.2	2	4	3	3	2	3	4	4	3.75	2.5	3.125	NA	NA	NA	4	NA	NA	NA	0	1
19231	20	2	3	2	4	3	3	3	4	4	4	4	3	4	4	4	4	3.75	3.875	2	4	3	4	4	3.4	4	4	3	4	4	5	4	4	4.25	3.75	4	1	NA	NA	NA	NA	NA	NA	0	0
19234	21	2	4	4	5	4	4	4.2	4	5	4	4	3	5	5	4	4.75	3.75	4.25	4	4	4	4	4	4	4	5	4	4	4	5	4	5	4.75	4	4.375	1	NA	NA	NA	NA	NA	NA	0	0
19235	21	1	3	3	3	3	3	3	4	4	3	4	3	5	3	3	3.75	3.5	3.625	2	3	3	3	4	3	4	3	4	4	3	4	4	3	3.5	3.75	3.625	NA	NA	NA	4	NA	NA	NA	0	1
19239	22	2	4	4	5	5	4	4.4	4	4	4	4	4	5	4	3	4	4	4	4	4	5	4	4	4.2	4	4	4	4	3	5	4	4	4.25	3.75	4	1	NA	NA	NA	NA	NA	NA	0	1
19242	21	2	2	2	3	4	2	2.6	4	4	4	4	4	4	3	4	3.75	4	3.875	2	2	4	4	2	2.8	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	0	0
19245	21	2	3	NA	NA	NA	NA	3	4	4	4	4	4	4	4	4	4	4	4	3	2	2	3	2	2.4	4	4	4	4	3	4	4	NA	4	3.75	3.875	NA	NA	NA	4	NA	NA	NA	0	1
19246	20	2	4	4	4	4	4	4	4	3	4	4	4	4	4	4	3.75	4	3.875	2	3	4	4	3	3.2	4	4	4	5	4	4	4	3	3.75	4.25	4	1	NA	NA	NA	NA	NA	NA	0	0
19294	20	2	4	4	4	3	5	4	4	5	4	4	4	5	4	4	4.5	4	4.25	4	4	4	4	5	4.2	3	2	4	4	3	4	4	4	3.5	3.5	3.5	1	NA	NA	NA	NA	NA	NA	0	0
19295	20	1	4	4	4	4	5	4.2	4	4	4	4	4	4	4	3	3.75	4	3.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	1
19296	21	2	3	4	2	4	3	3.2	4	4	3	4	5	4	4	3	3.75	4	3.875	4	4	3	4	2	3.4	4	3	4	3	4	3	4	2	3	3.75	3.375	1	NA	3	NA	NA	NA	NA	1	0
19297	22	2	3	3	4	4	4	3.6	3	4	4	4	4	5	4	4	4.25	3.75	4	4	4	4	4	4	4	2	4	4	4	3	4	4	4	4	3.25	3.625	1	NA	NA	NA	NA	NA	NA	0	0
19298	21	2	4	5	5	5	4	4.6	4	5	2	5	4	5	5	3	4.5	3.75	4.125	5	5	5	5	5	5	4	4	3	5	4	5	5	3	4.25	4	4.125	1	NA	NA	NA	NA	NA	NA	0	1
19300	19	2	3	3	4	2	2	2.8	3	4	4	4	4	4	4	4	4	3.75	3.875	4	3	4	3	2	3.2	4	4	3	3	3	4	4	4	4	3.25	3.625	1	NA	NA	4	NA	NA	NA	1	0
19301	20	2	5	5	5	5	5	5	4	3	4	4	3	4	4	3	3.5	3.75	3.625	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	1	NA	NA	NA	NA	NA	NA	0	0
19302	22	2	3	4	4	3	4	3.6	5	5	5	5	5	5	5	5	5	5	5	2	2	3	3	4	2.8	5	3	4	4	4	4	3	4	3.5	4.25	3.875	1	NA	NA	NA	NA	NA	NA	0	1
19303	19	2	4	4	4	3	3	3.6	5	5	3	5	2	4	4	5	4.5	3.75	4.125	4	4	3	4	3	3.6	4	4	4	4	4	5	4	4	4.25	4	4.125	NA	NA	NA	4	NA	NA	NA	1	0
19304	19	2	4	3	4	3	4	3.6	4	4	3	4	3	4	4	4	4	3.5	3.75	4	3	4	3	3	3.4	4	4	3	3	3	4	4	4	4	3.25	3.625	1	NA	NA	NA	NA	NA	NA	0	0
19305	19	2	4	4	4	4	3	3.8	4	4	4	4	4	3	3	4	3.5	4	3.75	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	0	1
19306	22	2	2	3	2	4	1	2.4	4	4	3	4	4	3	2	4	3.25	3.75	3.5	2	3	3	2	1	2.2	4	4	3	4	2	3	2	3	3	3.25	3.125	NA	NA	NA	4	NA	NA	NA	1	0
19307	20	2	3	5	4	5	5	4.4	4	4	4	3	3	4	4	4	4	3.5	3.75	4	4	4	4	5	4.2	2	2	4	4	2	4	4	4	3.5	3	3.25	NA	NA	NA	4	NA	NA	NA	0	0
19308	20	2	NA	NA	NA	NA	NA	NA	4	3	4	2	3	3	4	NA	3.33333333333333	3.25	3.29166666666667	2	2	2	3	3	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	0	1
19309	21	2	4	4	5	5	4	4.4	5	4	4	4	4	4	5	4	4.25	4.25	4.25	4	4	5	5	5	4.6	4	4	4	4	4	4	5	4	4.25	4	4.125	NA	NA	NA	4	NA	NA	NA	1	0
19373	19	2	2	3	3	4	4	3.2	3	4	4	4	2	4	4	3	3.75	3.25	3.5	4	4	4	4	3	3.8	4	3	3	3	4	4	5	2	3.5	3.5	3.5	1	NA	NA	NA	NA	NA	NA	0	0
19374	22	2	4	5	4	4	4	4.2	3	4	4	4	3	3	4	4	3.75	3.5	3.625	4	5	4	4	4	4.2	3	4	3	3	4	4	5	4	4.25	3.25	3.75	1	NA	NA	NA	NA	NA	NA	0	1
19375	21	2	2	2	3	4	2	2.6	4	4	3	4	4	4	4	4	4	3.75	3.875	3	2	4	4	2	3	4	4	4	3	4	3	4	4	3.75	3.75	3.75	1	NA	NA	NA	NA	NA	NA	1	0
19376	19	2	4	4	4	4	3	3.8	4	4	4	4	4	4	3	4	3.75	4	3.875	4	4	4	4	3	3.8	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	0	0
19377	22	2	2	2	2	4	2	2.4	4	3	4	4	3	4	3	3	3.25	3.75	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	0	1
19378	19	2	5	5	5	5	2	4.4	4	4	4	4	4	3	3	4	3.5	4	3.75	4	4	5	5	3	4.2	4	4	4	4	4	4	3	3	3.5	4	3.75	NA	NA	NA	4	NA	NA	NA	1	0
19379	21	2	3	4	4	4	4	3.8	5	5	5	4	4	5	3	4	4.25	4.5	4.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	0
19380	22	2	4	4	4	5	4	4.2	4	3	3	4	4	5	4	5	4.25	3.75	4	4	4	4	4	5	4.2	4	3	4	4	4	5	4	4	4	4	4	1	NA	NA	NA	NA	NA	NA	0	1
19381	19	2	4	4	4	4	3	3.8	4	4	3	3	4	4	4	4	4	3.5	3.75	4	4	4	4	3	3.8	3	2	3	3	3	4	4	4	3.5	3	3.25	1	2	NA	NA	NA	NA	NA	1	0
19383	22	2	4	3	4	4	3	3.6	4	4	4	4	4	4	4	4	4	4	4	3	3	4	4	3	3.4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	0	1
19385	22	2	3	4	4	3	1	3	4	4	4	4	4	4	4	5	4.25	4	4.125	3	3	4	4	1	3	4	4	3	3	4	5	5	3	4.25	3.5	3.875	NA	NA	3	NA	NA	NA	NA	0	0
19387	19	2	3	3	4	4	4	3.6	3	5	2	4	4	4	3	4	4	3.25	3.625	4	3	4	4	3	3.6	3	5	3	4	4	4	4	4	4.25	3.5	3.875	NA	NA	NA	4	NA	NA	NA	1	0
19419	20	2	3	4	4	2	2	3	4	4	4	4	2	4	4	3	3.75	3.5	3.625	4	4	4	4	4	4	4	2	4	4	2	4	4	4	3.5	3.5	3.5	NA	NA	3	NA	NA	NA	NA	0	1
19428	20	2	4	4	4	4	4	4	4	4	4	4	2	3	3	4	3.5	3.5	3.5	4	4	4	4	3	3.8	4	4	4	3	3	3	4	3	3.5	3.5	3.5	NA	NA	NA	4	NA	NA	NA	0	0
19502	22	2	3	3	2	3	2	2.6	3	4	4	4	5	4	4	4	4	4	4	3	3	4	4	3	3.4	3	4	4	4	3	3	3	3	3.25	3.5	3.375	NA	NA	NA	4	NA	NA	NA	1	0
19503	20	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	1	0
19504	20	1	3	4	4	4	3	3.6	3	4	4	3	4	5	3	4	4	3.5	3.75	4	4	4	4	5	4.2	4	4	5	4	4	4	4	4	4	4.25	4.125	1	2	NA	NA	NA	NA	NA	1	0
19506	21	2	2	3	4	4	3	3.2	4	5	4	4	2	4	3	4	4	3.5	3.75	2	3	4	4	4	3.4	4	4	3	3	3	4	2	3	3.25	3.25	3.25	NA	NA	NA	4	NA	NA	NA	1	0
19507	20	2	4	4	4	3	4	3.8	4	5	4	4	4	5	4	3	4.25	4	4.125	4	4	4	4	4	4	4	4	4	4	5	4	3	4	3.75	4.25	4	1	NA	NA	NA	NA	NA	NA	1	0
19508	22	2	4	4	5	4	4	4.2	4	4	4	4	4	5	5	4	4.5	4	4.25	4	4	5	5	5	4.6	4	4	4	5	4	4	4	4	4	4.25	4.125	1	NA	3	NA	NA	NA	NA	1	0
19509	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	3	5	1	2.8	4	4	3	3	4	5	4	3	4	3.5	3.75	1	NA	NA	NA	NA	NA	NA	1	0
19511	20	2	3	3	2	2	2	2.4	3	4	2	4	2	4	4	1	3.25	2.75	3	2	3	2	2	2	2.2	4	3	3	3	2	3	3	1	2.5	3	2.75	NA	NA	NA	4	NA	NA	NA	1	0
19512	21	2	5	5	5	5	5	5	5	5	5	5	4	4	4	5	4.5	4.75	4.625	4	4	4	5	5	4.4	5	5	5	5	5	4	5	5	4.75	5	4.875	1	NA	NA	NA	NA	NA	NA	1	0
19514	19	1	4	4	4	4	3	3.8	4	4	4	4	4	4	4	3	3.75	4	3.875	4	4	2	3	3	3.2	3	4	2	3	5	4	4	3	3.75	3.25	3.5	NA	NA	NA	4	5	NA	NA	1	0
19517	21	2	4	2	4	2	5	3.4	4	5	4	4	4	4	4	5	4.5	4	4.25	3	2	4	4	4	3.4	4	5	4	4	5	4	4	5	4.5	4.25	4.375	1	NA	NA	NA	NA	NA	NA	1	0
19518	19	2	2	4	4	4	2	3.2	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	3.6	4	4	4	4	4	4	4	3	3.75	4	3.875	NA	NA	NA	4	NA	NA	NA	1	0
19519	19	2	3	4	4	3	3	3.4	3	4	4	3	4	4	3	4	3.75	3.5	3.625	3	4	4	3	3	3.4	4	3	4	4	3	4	3	3	3.25	3.75	3.5	NA	NA	NA	4	NA	NA	7	1	0
19520	22	2	4	4	4	4	2	3.6	5	5	4	4	4	5	5	4	4.75	4.25	4.5	4	3	4	4	2	3.4	4	4	4	4	4	4	4	4	4	4	4	1	NA	NA	4	NA	NA	NA	1	0
19521	20	1	3	4	4	4	2	3.4	5	5	3	4	5	5	5	3	4.5	4.25	4.375	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	3	NA	NA	NA	NA	1	0
19524	19	2	4	4	4	5	4	4.2	3	4	4	5	3	4	4	2	3.5	3.75	3.625	3	4	4	4	4	3.8	4	4	3	4	2	4	4	3	3.75	3.25	3.5	1	NA	NA	NA	NA	NA	NA	1	0
19525	19	2	2	2	1	2	1	1.6	4	4	5	3	4	4	3	3	3.5	4	3.75	2	2	2	2	2	2	4	3	3	5	4	4	4	4	3.75	4	3.875	NA	NA	3	NA	NA	NA	NA	1	0
19526	20	2	2	3	3	4	1	2.6	4	4	4	4	4	2	4	4	3.5	4	3.75	2	3	4	2	1	2.4	4	4	3	4	4	2	4	5	3.75	3.75	3.75	NA	NA	NA	4	NA	NA	NA	0	0
19529	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	1
19530	20	2	4	4	4	5	4	4.2	4	4	4	4	4	5	5	4	4.5	4	4.25	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	3.75	3.875	1	NA	3	NA	NA	NA	NA	0	0
19531	23	1	NA	NA	NA	NA	NA	NA	4	4	4	4	4	4	2	4	3.5	4	3.75	4	4	4	4	3	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	0	1
19532	23	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	NA	NA	4	5	6	NA	0	0
19533	21	2	5	5	5	5	5	5	4	5	4	4	4	4	4	4	4.25	4	4.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	0	1
19534	22	2	2	3	2	1	2	2	4	5	5	4	4	5	4	4	4.5	4.25	4.375	2	3	3	2	2	2.4	4	4	3	3	3	4	3	4	3.75	3.25	3.5	NA	NA	NA	4	NA	NA	NA	0	0
19753	22	1	2	2	4	4	3	3	3	5	4	4	4	4	4	5	4.5	3.75	4.125	4	3	4	3	3	3.4	4	4	4	4	4	3	4	5	4	4	4	NA	NA	3	NA	NA	NA	NA	1	0
19755	20	2	1	1	1	1	1	1	4	4	2	2	3	3	3	3	3.25	2.75	3	1	1	2	2	2	1.6	4	3	3	3	4	4	3	3	3.25	3.5	3.375	NA	NA	NA	4	NA	NA	NA	0	1
19756	20	2	4	3	4	3	5	3.8	3	4	4	3	3	4	3	4	3.75	3.25	3.5	4	3	3	4	5	3.8	4	3	4	4	4	5	3	4	3.75	4	3.875	NA	NA	3	NA	NA	NA	NA	1	0
19758	23	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3.75	4	3.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	1
19759	NA	1	3	4	4	4	2	3.4	3	4	3	3	4	4	4	5	4.25	3.25	3.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	0
19760	21	1	4	5	5	5	4	4.6	4	4	3	4	4	5	5	4	4.5	3.75	4.125	4	5	5	5	4	4.6	4	4	2	4	4	5	5	4	4.5	3.5	4	NA	NA	3	NA	NA	NA	NA	0	0
19761	19	2	2	4	4	2	4	3.2	4	4	4	4	4	4	4	2	3.5	4	3.75	4	4	4	2	4	3.6	4	4	4	4	2	4	4	4	4	3.5	3.75	NA	NA	NA	4	NA	NA	NA	0	1
19762	21	2	4	3	4	4	2	3.4	4	5	4	5	4	4	4	4	4.25	4.25	4.25	4	4	4	4	3	3.8	4	4	4	4	4	4	4	5	4.25	4	4.125	NA	NA	3	NA	NA	NA	NA	1	0
19765	21	2	4	2	4	2	3	3	4	4	4	4	4	4	2	4	3.5	4	3.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	4	5	NA	NA	1	0
19766	20	2	3	3	2	3	4	3	2	2	4	3	3	3	4	4	3.25	3	3.125	3	3	3	2	4	3	3	3	4	4	3	4	4	3	3.5	3.5	3.5	NA	NA	NA	4	NA	NA	NA	0	0
19767	20	1	2	2	2	3	3	2.4	3	3	4	4	4	4	3	4	3.5	3.75	3.625	NA	NA	NA	NA	NA	NA	4	3	3	4	4	4	4	4	3.75	3.75	3.75	NA	NA	NA	4	NA	NA	NA	0	1
19768	21	2	2	2	2	2	1	1.8	4	4	2	4	3	4	2	3	3.25	3.25	3.25	3	3	4	3	1	2.8	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	1	0
19769	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	3	4	3	3.6	4	4	2	2	2	4	3	2	3.25	2.5	2.875	1	NA	NA	NA	NA	NA	NA	0	0
19770	20	2	2	4	4	3	2	3	3	4	4	4	4	4	4	3	3.75	3.75	3.75	2	3	4	3	2	2.8	3	4	3	3	2	3	3	4	3.5	2.75	3.125	NA	NA	3	NA	NA	NA	NA	0	1
19771	19	2	4	4	2	2	2	2.8	2	4	2	4	2	4	4	4	4	2.5	3.25	4	5	4	3	2	3.6	4	2	4	3	2	4	4	3	3.25	3.25	3.25	NA	NA	NA	4	NA	NA	NA	1	0
19772	20	2	NA	NA	NA	NA	NA	NA	4	5	5	5	5	4	4	5	4.5	4.75	4.625	3	4	5	4	5	4.2	5	5	5	5	5	4	4	4	4.25	5	4.625	NA	NA	3	NA	NA	NA	NA	0	0
19773	20	2	2	3	2	3	2	2.4	4	4	1	2	2	4	4	4	4	2.25	3.125	4	4	4	3	2	3.4	2	4	1	3	2	4	4	3	3.75	2	2.875	1	NA	NA	NA	NA	NA	NA	0	1
19775	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	3	2	1	2.2	4	4	4	3	4	2	4	4	3.5	3.75	3.625	1	NA	NA	NA	NA	NA	NA	0	0
19857	20	2	2	4	2	4	2	2.8	2	4	4	4	4	4	4	4	4	3.5	3.75	4	4	4	4	2	3.6	2	4	3	4	3	3	4	4	3.75	3	3.375	NA	NA	NA	4	NA	NA	NA	0	0
19858	20	2	5	5	5	5	3	4.6	4	4	4	4	3	5	5	5	4.75	3.75	4.25	4	4	4	3	2	3.4	4	4	3	4	2	5	5	5	4.75	3.25	4	1	NA	3	NA	5	NA	NA	0	1
19859	20	2	4	4	5	5	3	4.2	4	4	4	4	4	5	5	4	4.5	4	4.25	5	4	4	4	4	4.2	4	4	4	4	4	5	4	4	4.25	4	4.125	1	NA	NA	NA	NA	NA	NA	1	0
19860	20	2	2	NA	NA	NA	NA	2	2	4	4	4	2	4	4	2	3.5	3	3.25	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	0	0
19861	22	2	4	3	3	4	1	3	4	2	4	4	3	2	2	3	2.25	3.75	3	2	3	3	4	3	3	4	3	4	1	4	3	3	2	2.75	3.25	3	NA	NA	3	NA	NA	NA	NA	0	1
19862	21	1	4	3	2	4	4	3.4	4	5	4	4	5	4	4	4	4.25	4.25	4.25	4	4	4	4	4	4	5	4	4	4	5	4	4	5	4.25	4.5	4.375	1	2	NA	4	5	NA	NA	1	0
19863	21	2	4	3	3	4	4	3.6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	NA	NA	4	NA	6	NA	0	0
19864	19	1	4	4	4	4	2	3.6	5	4	5	4	4	5	4	3	4	4.5	4.25	2	4	3	3	2	2.8	5	4	4	5	4	5	4	4	4.25	4.5	4.375	NA	NA	NA	4	NA	NA	NA	0	1
19865	19	1	4	3	4	3	4	3.6	4	4	4	4	4	4	3	4	3.75	4	3.875	2	3	3	3	3	2.8	4	4	3	4	4	4	3	3	3.5	3.75	3.625	NA	NA	3	NA	5	NA	NA	1	0
19866	21	2	NA	NA	NA	NA	NA	NA	5	5	5	5	5	3	4	4	4	5	4.5	4	4	4	4	5	4.2	4	3	4	4	4	2	3	2	2.5	4	3.25	NA	NA	NA	4	NA	NA	NA	0	0
19868	20	2	2	2	3	4	2	2.6	3	5	4	4	4	3	4	4	4	3.75	3.875	3	3	3	4	3	3.2	4	4	4	4	4	4	4	3	3.75	4	3.875	NA	NA	3	NA	NA	NA	NA	1	0
19870	22	2	2	4	2	4	4	3.2	4	4	2	5	4	5	5	5	4.75	3.75	4.25	2	2	2	2	2	2	5	2	4	4	2	4	5	4	3.75	3.75	3.75	1	NA	NA	NA	NA	NA	NA	0	0
19871	22	2	3	3	3	2	2	2.6	4	3	4	4	3	5	3	3	3.5	3.75	3.625	2	2	3	3	3	2.6	3	4	4	4	3	3	3	2	3	3.5	3.25	1	NA	NA	NA	NA	NA	NA	0	1
19872	22	2	3	4	4	4	5	4	5	4	4	4	4	5	5	5	4.75	4.25	4.5	5	5	5	5	5	5	4	4	4	5	4	4	4	4	4	4.25	4.125	1	NA	NA	NA	NA	NA	NA	1	0
19873	20	1	4	NA	NA	NA	NA	4	4	4	4	4	4	3	4	4	3.75	4	3.875	4	4	4	4	5	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	1	0
19874	20	1	2	NA	NA	NA	NA	2	2	4	5	5	5	3	2	2	2.75	4.25	3.5	3	2	3	2	1	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	0	0
19875	22	2	2	2	2	2	2	2	4	4	5	3	3	3	3	3	3.25	3.75	3.5	2	2	2	3	2	2.2	3	4	4	2	2	3	3	2	3	2.75	2.875	NA	NA	NA	4	NA	NA	NA	0	1
19876	20	2	4	2	4	4	4	3.6	4	3	4	4	4	4	4	4	3.75	4	3.875	4	3	4	4	5	4	4	4	4	5	4	5	5	4	4.5	4.25	4.375	NA	NA	3	NA	NA	NA	NA	0	0
19877	20	2	4	4	4	4	1	3.4	4	4	4	3	4	3	3	4	3.5	3.75	3.625	2	2	2	4	1	2.2	4	4	4	4	3	4	4	3	3.75	3.75	3.75	1	NA	3	NA	NA	NA	NA	1	0
19878	21	1	4	4	4	4	3	3.8	5	3	5	5	5	4	4	4	3.75	5	4.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	0
19879	21	2	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4.25	4	4.125	4	5	5	5	4	4.6	4	5	3	4	4	5	5	5	5	3.75	4.375	1	NA	3	4	NA	NA	NA	0	1
19881	19	1	4	5	4	4	4	4.2	4	5	3	4	3	4	4	4	4.25	3.5	3.875	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	3.75	3.875	NA	NA	NA	4	NA	NA	NA	1	0
19882	19	2	4	2	4	4	3	3.4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	3.8	4	2	4	4	4	4	4	4	3.5	4	3.75	NA	NA	NA	4	NA	NA	NA	0	0
19883	22	2	3	3	4	3	2	3	4	4	4	4	3	3	3	5	3.75	3.75	3.75	2	3	3	4	4	3.2	4	4	4	4	4	4	3	4	3.75	4	3.875	1	NA	NA	NA	NA	NA	NA	0	1
19884	22	2	2	1	2	3	2	2	4	5	4	4	4	4	3	3	3.75	4	3.875	1	2	2	3	2	2	4	3	3	4	3	5	3	2	3.25	3.5	3.375	1	NA	NA	4	NA	NA	NA	1	0
19885	19	2	4	5	4	4	4	4.2	4	3	5	4	4	5	5	3	4	4.25	4.125	2	2	2	2	2	2	4	3	4	4	4	3	4	3	3.25	4	3.625	NA	NA	NA	4	NA	NA	NA	0	0
19887	21	2	4	4	4	4	2	3.6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	1	0
19888	21	2	2	4	4	4	2	3.2	4	3	4	4	3	4	4	2	3.25	3.75	3.5	3	4	3	4	2	3.2	4	4	4	4	4	4	4	4	4	4	4	1	NA	NA	NA	NA	NA	NA	0	0
19889	21	1	4	3	4	4	4	3.8	3	5	3	4	4	5	4	4	4.5	3.5	4	4	4	4	4	4	4	3	4	3	5	3	5	4	4	4.25	3.5	3.875	1	NA	NA	NA	NA	NA	NA	0	0
